"Year","Geography","Geography.Type","Geography.Note","Data.Type","Total.Violent.Criminal.Code.Violations","Homicide","Murder..First.degree","Murder..Second.degree","Manslaughter","Total.other.violations.causing.death","Attempted.Murder","Sexual.Assault..Level.3..Aggravated","Sexual.Assault..Level.2..with.a.Weapon.or.Bodily.Harm","Sexual.Assault..Level.1","Total.Sexual.Violations.Against.Children","Luring.a.child.via.a.computer","Assault..Level.3..Aggravated","Assault..Level.2..with.Weapon.or.Causing.Bodily.Harm","Assault..Level.1","Assault.Peace.Officer","Total.Other.Assaults","Total.Firearms..use.of...discharge..pointing","Total.Robbery","Total.forcible.confinement.or.kidnapping","Total.Abduction","Extortion","Criminal.Harassment","Uttering.Threats","Threatening.or.Harassing.Phone.Calls","Total.Other.Violent.Violations","Total.Property.Crime.Violations","Total.Breaking.And.Entering","Possession.of.Stolen.Property","Total.Theft.of.Motor.Vehicle","Theft.of.Motor.Vehicle.Over..5.000","Theft.of.Motor.Vehicle..5.000.or.Under","Total.Theft.Over..5.000","Theft.Over..5.000..non.motor.vehicle.","Theft.Over..5.000.from.a.motor.vehicle","Shoplifting.Over..5.000","Total.Theft.Under..5.000","Theft..5.000.or.under..non.motor.vehicle.","Theft..5.000.or.under.from.a.motor.vehicle","Shoplifting..5.000.or.Under","Fraud","Identity.Theft","Identity.Fraud","Total.Mischief","Arson","Total.Other.Criminal.Code.Violations","Counterfeiting","Total.weapons.violations","Possession.of.weapons","Firearms.documentation.or.administration","Child.pornography","Total.prostitution","Disturb.the.peace","Total.administration.of.justice.violations","Fail.to.comply.with.order","Prisoner.unlawfully.at.large","Fail.to.appear","Breach.of.probation","Other.violations.against.the.administration.of.law.and.justice","Total.other.violations","Indecent.acts","Obstruct.public.or.peace.officer","Trespass.at.night","Utter.threats.to.property.or.animal","Firearms.and.other.offensive.weapons","Proceeds.of.crime","Total.Criminal.Code.Traffic.Violations","Total.Impaired.Driving","Impaired.Operation..Causing.Death","Impaired.Operation..Causing.Bodily.Harm","Impaired.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Impaired.Operation..Drugs..Vehicle..Vessel.or.Aircraft","Impaired.Operation..Failure.to.Provide.Beath.Sample","Failure.to.Comply.or.Refusal..Drugs.","Impaired.Operation..Failure.to.Provide.Blood.Sample","Failure.to.Provide.Blood.Sample..Drugs.","Total.Other.Criminal.Code.Traffic.Violations","Dangerous.Operation..Causing.Death","Dangerous.Operation..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Dangerous.Operation.Evading.Police..Causing.Death","Dangerous.Operation.Evading.Police..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle.Evading.Police","Failure.to.Stop.or.Remain","Driving.While.Prohibited","Other.Criminal.Code.Traffic.Violations","Causing.Bodily.Harm.by.Criminal.Negligence.While.Street.Racing","Dangerous.Operation.Causing.Death.While.Street.Racing","Dangerous.Operation.Causing.Bodily.Harm.While.Street.Racing","Dangerous.Operation.of.Motor.Vehicle.While.Street.Racing","Total.Federal.Statute.Violations","Posession..Cannabis","Possession..Cocaine","Total..Possession..Other.Controlled.Drugs.and.Substances.Act.Drugs","Total.Cannabis..Trafficking..Production.or.Distribution","Total.Cocaine..Trafficking..Production.or.Distribution","Total.Other.Controlled.Drugs.and.Substances.Act.Drugs..Trafficking..Production.or.Distribution","Youth.Criminal.Justice.Act","Total.Other.Federal.Statutes","Bankruptcy.Act","Income.Tax.Act","Canada.Shipping.Act","Canada.Health.Act","Customs.Act","Competition.Act","Excise.Act","Immigration...Refugee.Protection.Act","Firearms.Act","National.Defense.Act","Other.Federal.Statutes"
"2007","Bay St. George District, RCMP","Police Region","","actual_incidents","550","0","0","0","0","0","0","0","1","22","1","1","0","63","246","5","1","0","1","4","0","0","18","124","54","10","1272","208","10","27","1","39","4","3","1","0","315","234","39","42","39","0","0","658","11","332","0","10","6","0","1","0","168","105","60","1","2","37","5","48","6","5","6","0","2","1","129","79","2","3","72","0","2","0","0","0","50","0","0","7","0","0","4","35","4","0","0","0","0","0","128","27","8","5","16","1","10","9","52","0","0","0","0","3","0","26","0","6","0","17"
"2007","Grand Falls-Windsor District, RCMP","Police Region","","actual_incidents","491","0","0","0","0","0","0","0","1","32","0","0","1","37","218","7","1","1","0","2","0","0","12","120","56","3","1039","159","13","15","0","64","9","9","0","0","323","225","64","34","38","0","0","477","5","213","0","7","4","0","1","1","122","61","41","0","1","13","6","21","1","2","5","0","1","1","96","75","1","0","74","0","0","0","0","0","21","0","0","8","0","0","6","6","1","0","0","0","0","0","81","32","2","4","12","5","1","4","21","0","0","0","0","0","0","14","0","1","0","6"
"2007","Gander-Lewisporte District, RCMP","Police Region","","actual_incidents","386","0","0","0","0","0","0","0","0","25","1","1","0","28","173","5","0","0","2","2","2","0","4","83","54","7","1000","210","11","21","0","42","6","6","0","0","248","177","42","29","38","0","0","460","6","179","0","4","2","0","1","0","82","56","35","0","4","11","6","36","3","0","8","0","1","3","127","95","0","0","86","0","9","0","0","0","32","0","0","8","0","0","4","16","4","0","0","0","0","0","124","38","1","5","20","10","7","8","35","1","0","3","0","0","0","14","0","1","0","16"
"2007","Clarenville-Bonavista District, RCMP","Police Region","","actual_incidents","211","0","0","0","0","0","0","0","0","11","0","0","0","18","98","1","0","1","3","0","0","1","1","54","19","4","371","47","7","7","0","1","5","5","0","0","87","82","1","4","29","0","0","188","1","119","0","4","3","0","0","0","55","51","27","0","0","17","7","9","1","3","0","0","0","0","68","49","0","1","45","0","2","0","1","0","19","0","1","2","0","0","6","8","2","0","0","0","0","0","61","21","3","2","10","6","2","1","16","0","0","2","0","1","0","10","0","0","0","3"
"2007","Burin Peninsula District, RCMP","Police Region","","actual_incidents","338","0","0","0","0","0","1","1","0","14","1","1","0","32","150","1","0","0","2","0","0","0","4","77","53","2","666","118","6","15","0","18","1","1","0","0","128","105","18","5","19","0","0","378","1","157","0","2","0","0","2","0","79","56","32","0","0","22","2","18","2","2","3","0","2","0","91","51","2","1","48","0","0","0","0","0","40","0","0","6","0","0","4","29","1","0","0","0","0","0","128","15","1","2","17","10","3","13","67","0","0","1","0","6","0","54","0","0","0","6"
"2007","Placentia-Whitbourne District, RCMP","Police Region","","actual_incidents","177","0","0","0","0","0","0","0","0","7","0","0","0","14","71","1","0","0","1","1","0","0","1","59","21","1","309","78","4","6","0","13","1","1","0","0","58","42","13","3","4","0","0","156","2","61","0","2","2","0","0","0","23","27","14","0","1","11","1","9","3","0","2","0","0","0","46","42","0","0","42","0","0","0","0","0","4","0","0","0","0","0","0","2","2","0","0","0","0","0","22","8","0","2","4","1","2","1","4","0","0","0","0","0","0","2","0","0","0","2"
"2007","Trinity-Conception District, RCMP","Police Region","","actual_incidents","456","0","0","0","0","0","0","0","0","34","0","0","1","35","181","1","0","2","2","2","0","1","11","129","52","5","910","167","9","15","1","26","2","1","1","0","187","156","26","5","49","0","0","475","6","248","0","3","1","0","0","0","144","58","35","0","0","16","7","43","2","3","4","0","5","0","94","65","0","0","62","0","3","0","0","0","29","0","1","4","0","0","1","13","10","0","0","0","0","0","55","21","0","3","9","1","7","2","12","0","0","0","0","0","0","6","0","3","0","3"
"2007","Avalon East District, RCMP","Police Region","","actual_incidents","179","0","0","0","0","0","0","0","0","9","0","0","2","17","71","5","2","1","2","1","0","1","4","37","23","4","608","201","4","14","1","16","4","3","1","0","115","93","16","6","24","0","0","235","11","75","1","3","2","0","0","0","30","32","19","0","0","10","3","9","1","2","2","0","0","0","58","41","0","0","39","0","2","0","0","0","17","0","0","0","0","0","3","9","5","0","0","0","0","0","27","11","0","0","5","3","0","1","7","0","0","0","0","0","0","6","0","1","0","0"
"2008","Labrador West, R.N.C.","Police Region","","actual_incidents","130","0","0","0","0","0","0","0","0","7","0","0","0","6","67","1","1","1","1","0","0","0","1","35","9","1","282","45","0","9","0","6","5","4","0","1","66","57","6","3","13","0","0","144","0","78","0","4","0","4","0","0","24","46","22","0","3","18","2","4","1","0","1","1","0","0","30","25","0","0","23","0","2","0","0","0","5","0","0","1","0","0","1","0","2","1","0","0","0","0","41","25","1","5","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","actual_incidents","286","0","0","0","0","0","0","0","0","22","0","0","2","23","129","6","0","0","6","0","0","0","5","82","11","0","729","67","7","9","2","48","17","8","2","7","329","175","48","106","59","0","0","240","1","304","0","19","1","15","3","0","145","121","61","1","8","24","27","16","9","0","2","4","0","0","106","102","0","0","102","0","0","0","0","0","4","0","0","1","0","0","1","0","2","0","0","0","0","0","111","58","3","5","15","2","5","12","11","0","0","0","0","0","0","5","0","0","0","6"
