"Year","Geography","Geography.Type","Geography.Note","Data.Type","Total.Violent.Criminal.Code.Violations","Homicide","Murder..First.degree","Murder..Second.degree","Manslaughter","Total.other.violations.causing.death","Attempted.Murder","Sexual.Assault..Level.3..Aggravated","Sexual.Assault..Level.2..with.a.Weapon.or.Bodily.Harm","Sexual.Assault..Level.1","Total.Sexual.Violations.Against.Children","Luring.a.child.via.a.computer","Assault..Level.3..Aggravated","Assault..Level.2..with.Weapon.or.Causing.Bodily.Harm","Assault..Level.1","Assault.Peace.Officer","Total.Other.Assaults","Total.Firearms..use.of...discharge..pointing","Total.Robbery","Total.forcible.confinement.or.kidnapping","Total.Abduction","Extortion","Criminal.Harassment","Uttering.Threats","Threatening.or.Harassing.Phone.Calls","Total.Other.Violent.Violations","Total.Property.Crime.Violations","Total.Breaking.And.Entering","Possession.of.Stolen.Property","Total.Theft.of.Motor.Vehicle","Theft.of.Motor.Vehicle.Over..5.000","Theft.of.Motor.Vehicle..5.000.or.Under","Total.Theft.Over..5.000","Theft.Over..5.000..non.motor.vehicle.","Theft.Over..5.000.from.a.motor.vehicle","Shoplifting.Over..5.000","Total.Theft.Under..5.000","Theft..5.000.or.under..non.motor.vehicle.","Theft..5.000.or.under.from.a.motor.vehicle","Shoplifting..5.000.or.Under","Fraud","Identity.Theft","Identity.Fraud","Total.Mischief","Arson","Total.Other.Criminal.Code.Violations","Counterfeiting","Total.weapons.violations","Possession.of.weapons","Firearms.documentation.or.administration","Child.pornography","Total.prostitution","Disturb.the.peace","Total.administration.of.justice.violations","Fail.to.comply.with.order","Prisoner.unlawfully.at.large","Fail.to.appear","Breach.of.probation","Other.violations.against.the.administration.of.law.and.justice","Total.other.violations","Indecent.acts","Obstruct.public.or.peace.officer","Trespass.at.night","Utter.threats.to.property.or.animal","Firearms.and.other.offensive.weapons","Proceeds.of.crime","Total.Criminal.Code.Traffic.Violations","Total.Impaired.Driving","Impaired.Operation..Causing.Death","Impaired.Operation..Causing.Bodily.Harm","Impaired.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Impaired.Operation..Drugs..Vehicle..Vessel.or.Aircraft","Impaired.Operation..Failure.to.Provide.Beath.Sample","Failure.to.Comply.or.Refusal..Drugs.","Impaired.Operation..Failure.to.Provide.Blood.Sample","Failure.to.Provide.Blood.Sample..Drugs.","Total.Other.Criminal.Code.Traffic.Violations","Dangerous.Operation..Causing.Death","Dangerous.Operation..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle..Vessel.or.Aircraft","Dangerous.Operation.Evading.Police..Causing.Death","Dangerous.Operation.Evading.Police..Causing.Bodily.Harm","Dangerous.Operation.of.Motor.Vehicle.Evading.Police","Failure.to.Stop.or.Remain","Driving.While.Prohibited","Other.Criminal.Code.Traffic.Violations","Causing.Bodily.Harm.by.Criminal.Negligence.While.Street.Racing","Dangerous.Operation.Causing.Death.While.Street.Racing","Dangerous.Operation.Causing.Bodily.Harm.While.Street.Racing","Dangerous.Operation.of.Motor.Vehicle.While.Street.Racing","Total.Federal.Statute.Violations","Posession..Cannabis","Possession..Cocaine","Total..Possession..Other.Controlled.Drugs.and.Substances.Act.Drugs","Total.Cannabis..Trafficking..Production.or.Distribution","Total.Cocaine..Trafficking..Production.or.Distribution","Total.Other.Controlled.Drugs.and.Substances.Act.Drugs..Trafficking..Production.or.Distribution","Youth.Criminal.Justice.Act","Total.Other.Federal.Statutes","Bankruptcy.Act","Income.Tax.Act","Canada.Shipping.Act","Canada.Health.Act","Customs.Act","Competition.Act","Excise.Act","Immigration...Refugee.Protection.Act","Firearms.Act","National.Defense.Act","Other.Federal.Statutes"
"2014","Northern Peninsula District, RCMP","Police Region","","tot_adults_charged","32","0","0","0","0","0","0","0","0","1","4","0","0","6","9","3","0","0","0","1","0","3","0","5","0","0","16","5","0","3","0","0","1","1","0","0","2","0","0","2","1","0","0","4","0","27","0","1","1","0","0","0","0","21","16","0","1","4","0","5","1","2","0","1","1","0","14","5","0","0","5","0","0","0","0","0","9","0","0","2","0","0","4","0","3","0","0","0","0","0","7","4","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Northern Peninsula District, RCMP","Police Region","","tot_youth_charged","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Grand Falls-Windsor District, RCMP","Police Region","","actual_incidents","426","0","0","0","0","0","0","0","0","26","15","5","0","45","182","3","0","0","0","3","0","4","6","122","17","3","1062","145","18","25","1","103","8","7","1","0","342","151","103","88","72","3","5","439","5","294","0","12","5","0","3","0","133","112","72","0","6","19","15","34","5","7","1","10","3","0","53","42","0","2","39","1","0","0","0","0","11","0","0","2","0","0","6","0","3","0","0","0","0","0","92","51","1","2","7","4","8","16","3","0","0","0","0","0","0","2","0","1","0","0"
"2014","Grand Falls-Windsor District, RCMP","Police Region","","total_cleared","226","0","0","0","0","0","0","0","0","14","7","1","0","36","107","3","0","0","0","3","0","2","2","48","1","3","251","22","6","8","0","4","1","1","0","0","98","28","4","66","37","0","0","77","2","139","0","9","4","0","0","0","37","77","51","0","6","12","8","16","5","6","0","1","0","0","47","37","0","2","35","0","0","0","0","0","10","0","0","2","0","0","5","0","3","0","0","0","0","0","36","19","0","1","3","2","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Grand Falls-Windsor District, RCMP","Police Region","","tot_persons_charged","137","0","0","0","0","0","0","0","0","12","9","1","0","25","56","2","0","1","0","2","0","2","1","24","0","3","144","16","3","5","0","2","0","0","0","0","71","16","2","53","24","0","0","20","5","61","0","6","5","0","0","0","0","50","34","0","5","8","3","5","4","1","0","0","0","0","46","35","0","2","33","0","0","0","0","0","11","0","0","3","0","0","5","0","3","0","0","0","0","0","13","6","0","0","4","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Grand Falls-Windsor District, RCMP","Police Region","","tot_adults_charged","115","0","0","0","0","0","0","0","0","10","9","1","0","20","48","2","0","1","0","2","0","1","1","18","0","3","107","10","1","1","0","1","0","0","0","0","66","12","1","53","22","0","0","6","1","48","0","6","5","0","0","0","0","37","21","0","5","8","3","5","4","1","0","0","0","0","46","35","0","2","33","0","0","0","0","0","11","0","0","3","0","0","5","0","3","0","0","0","0","0","11","6","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Grand Falls-Windsor District, RCMP","Police Region","","tot_youth_charged","22","0","0","0","0","0","0","0","0","2","0","0","0","5","8","0","0","0","0","0","0","1","0","6","0","0","37","6","2","4","0","1","0","0","0","0","5","4","1","0","2","0","0","14","4","13","0","0","0","0","0","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Avalon East District, RCMP","Police Region","","actual_incidents","124","0","0","0","0","0","0","0","0","9","5","1","0","6","48","1","0","2","3","0","0","0","2","42","5","1","372","94","2","18","0","37","1","1","0","0","93","51","37","5","13","1","0","134","16","80","0","4","2","0","1","0","28","21","12","0","5","3","1","26","1","3","0","12","7","0","41","31","0","1","29","1","0","0","0","0","10","0","0","4","0","0","2","3","1","0","0","0","0","0","44","33","5","0","3","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"2014","Avalon East District, RCMP","Police Region","","total_cleared","89","0","0","0","0","0","0","0","0","6","2","0","0","6","45","1","0","1","2","0","0","0","1","24","1","0","40","8","1","3","0","0","0","0","0","0","7","1","0","6","2","0","0","19","0","39","0","4","0","0","0","0","8","20","12","0","5","3","0","7","0","2","0","4","1","0","32","28","0","1","26","0","1","0","0","0","4","0","0","2","0","0","1","0","1","0","0","0","0","0","29","24","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Avalon East District, RCMP","Police Region","","tot_persons_charged","49","0","0","0","0","0","0","0","0","6","2","0","0","6","25","0","0","2","1","0","0","0","1","6","0","0","16","6","1","1","0","0","0","0","0","0","2","0","0","2","2","0","0","4","0","25","0","3","0","0","0","0","0","18","10","0","5","3","0","4","0","1","0","2","1","0","30","26","0","1","24","0","1","0","0","0","4","0","0","2","0","0","1","0","1","0","0","0","0","0","13","6","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Avalon East District, RCMP","Police Region","","tot_adults_charged","46","0","0","0","0","0","0","0","0","5","0","0","0","6","25","0","0","2","1","0","0","0","1","6","0","0","14","5","1","1","0","0","0","0","0","0","2","0","0","2","1","0","0","4","0","25","0","3","0","0","0","0","0","18","10","0","5","3","0","4","0","1","0","2","1","0","29","26","0","1","24","0","1","0","0","0","3","0","0","2","0","0","1","0","0","0","0","0","0","0","12","5","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Avalon East District, RCMP","Police Region","","tot_youth_charged","3","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Gander-Lewisporte District, RCMP","Police Region","","actual_incidents","406","0","0","0","0","0","0","0","1","15","11","2","5","44","180","8","0","2","3","1","0","2","2","106","24","2","905","183","13","21","0","78","2","2","0","0","248","119","78","51","57","1","6","372","2","246","0","11","9","0","8","0","92","83","59","0","4","12","8","52","1","6","0","27","1","1","70","54","0","0","51","2","1","0","0","0","16","0","3","4","0","0","2","3","4","0","0","0","0","0","79","38","2","3","11","7","7","4","7","0","0","1","0","0","0","0","0","1","0","5"
"2014","Gander-Lewisporte District, RCMP","Police Region","","total_cleared","246","0","0","0","0","0","0","0","0","12","6","2","5","33","119","8","0","2","2","1","0","2","0","51","3","2","186","29","10","6","0","1","0","0","0","0","70","29","1","40","20","0","0","51","0","139","0","8","6","0","10","0","22","75","55","0","4","9","7","24","0","5","1","7","0","0","51","41","0","0","39","1","1","0","0","0","10","0","3","3","0","0","1","0","3","0","0","0","0","0","46","24","1","3","5","2","3","3","5","0","0","0","0","0","0","0","0","1","0","4"
"2014","Gander-Lewisporte District, RCMP","Police Region","","tot_persons_charged","158","0","0","0","0","0","0","0","0","10","5","1","5","29","72","2","0","1","2","1","0","2","0","28","0","1","139","34","10","5","0","1","0","0","0","0","54","19","1","34","14","0","0","22","0","76","0","2","1","0","5","0","2","61","47","0","4","7","3","6","0","2","0","3","0","0","49","39","0","0","37","1","1","0","0","0","10","0","3","3","0","0","1","0","3","0","0","0","0","0","27","11","1","3","4","1","4","1","2","0","0","0","0","0","0","0","0","0","0","2"
"2014","Gander-Lewisporte District, RCMP","Police Region","","tot_adults_charged","141","0","0","0","0","0","0","0","0","8","5","1","5","28","64","2","0","0","1","1","0","1","0","25","0","1","134","32","10","3","0","1","0","0","0","0","53","18","1","34","14","0","0","22","0","72","0","2","1","0","4","0","2","59","45","0","4","7","3","5","0","2","0","2","0","0","49","39","0","0","37","1","1","0","0","0","10","0","3","3","0","0","1","0","3","0","0","0","0","0","25","9","1","3","4","1","4","1","2","0","0","0","0","0","0","0","0","0","0","2"
"2014","Gander-Lewisporte District, RCMP","Police Region","","tot_youth_charged","17","0","0","0","0","0","0","0","0","2","0","0","0","1","8","0","0","1","1","0","0","1","0","3","0","0","5","2","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","2","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Clarenville-Bonavista District, RCMP","Police Region","","actual_incidents","181","0","0","0","0","0","0","0","0","6","5","2","0","14","61","2","0","1","6","4","0","0","3","54","25","0","411","59","0","11","0","17","2","2","0","0","141","95","17","29","27","0","4","164","3","94","0","1","1","0","0","0","41","39","26","0","0","9","4","13","1","2","1","3","1","0","52","39","0","1","35","2","1","0","0","0","13","0","0","7","0","0","1","2","3","0","0","0","0","0","43","25","2","0","5","3","4","3","1","0","0","0","0","0","0","0","0","0","0","1"
"2014","Clarenville-Bonavista District, RCMP","Police Region","","total_cleared","139","0","0","0","0","0","0","0","0","7","2","0","0","12","55","2","0","1","1","4","0","0","0","44","11","0","118","17","1","4","0","8","0","0","0","0","56","27","8","21","10","0","0","30","0","55","0","1","1","0","0","0","16","29","19","0","0","4","6","9","1","2","0","1","0","0","45","36","0","1","32","2","1","0","0","0","9","0","0","5","0","0","1","1","2","0","0","0","0","0","29","20","0","0","2","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Clarenville-Bonavista District, RCMP","Police Region","","tot_persons_charged","77","0","0","0","0","0","0","0","0","5","3","0","0","13","25","2","0","0","1","4","0","0","0","23","1","0","78","34","0","2","0","3","0","0","0","0","31","14","3","14","6","0","0","5","0","26","0","1","1","0","0","0","2","20","12","0","0","3","5","3","0","0","0","0","0","0","43","34","0","1","30","2","1","0","0","0","9","0","0","5","0","0","1","1","2","0","0","0","0","0","17","8","0","0","2","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Clarenville-Bonavista District, RCMP","Police Region","","tot_adults_charged","75","0","0","0","0","0","0","0","0","4","3","0","0","13","24","2","0","0","1","4","0","0","0","23","1","0","63","32","0","2","0","0","0","0","0","0","21","7","0","14","3","0","0","5","0","24","0","1","1","0","0","0","2","18","11","0","0","3","4","3","0","0","0","0","0","0","42","33","0","1","29","2","1","0","0","0","9","0","0","5","0","0","1","1","2","0","0","0","0","0","13","8","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Clarenville-Bonavista District, RCMP","Police Region","","tot_youth_charged","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","15","2","0","0","0","3","0","0","0","0","10","7","3","0","3","0","0","0","0","2","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Trinity-Conception District, RCMP","Police Region","","actual_incidents","329","1","0","1","0","0","0","0","0","8","4","0","2","39","123","5","1","2","3","3","0","3","1","105","29","0","1048","134","2","34","0","78","2","2","0","0","269","165","78","26","34","1","1","564","7","276","0","6","2","0","1","0","139","89","65","2","4","13","5","41","1","3","0","13","15","0","74","45","0","2","40","1","0","0","1","0","29","0","0","5","0","0","4","14","6","0","0","0","0","0","124","43","12","3","29","12","19","0","6","0","0","0","0","0","0","0","0","2","0","4"
"2014","Trinity-Conception District, RCMP","Police Region","","total_cleared","182","0","0","0","0","0","0","0","0","5","4","0","2","34","84","5","0","1","3","2","0","0","1","37","4","0","146","16","1","12","0","1","0","0","0","0","43","24","1","18","7","0","0","66","1","97","0","3","0","0","0","0","30","54","44","1","3","5","1","10","0","3","0","1","0","0","59","46","0","2","41","1","0","0","1","0","13","0","0","5","0","0","3","0","5","0","0","0","0","0","18","9","2","0","2","2","2","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2014","Trinity-Conception District, RCMP","Police Region","","tot_persons_charged","117","0","0","0","0","0","0","0","0","5","2","0","2","32","50","4","0","0","4","1","0","0","1","16","0","0","54","12","1","4","0","1","0","0","0","0","25","9","1","15","3","0","0","8","1","51","0","1","0","0","0","0","0","47","40","1","3","3","0","3","0","0","0","0","0","0","58","47","0","2","42","1","0","0","1","0","11","0","0","4","0","0","2","0","5","0","0","0","0","0","11","4","2","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Trinity-Conception District, RCMP","Police Region","","tot_adults_charged","106","0","0","0","0","0","0","0","0","5","1","0","2","29","47","4","0","0","2","1","0","0","1","14","0","0","49","10","1","4","0","1","0","0","0","0","23","8","1","14","3","0","0","7","1","44","0","1","0","0","0","0","0","40","35","1","2","2","0","3","0","0","0","0","0","0","58","47","0","2","42","1","0","0","1","0","11","0","0","4","0","0","2","0","5","0","0","0","0","0","11","4","2","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Trinity-Conception District, RCMP","Police Region","","tot_youth_charged","11","0","0","0","0","0","0","0","0","0","1","0","0","3","3","0","0","0","2","0","0","0","0","2","0","0","5","2","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","1","0","7","0","0","0","0","0","0","0","7","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Placentia-Whitbourne District, RCMP","Police Region","","actual_incidents","180","0","0","0","0","0","0","0","0","6","2","0","0","24","61","6","0","0","0","0","0","0","1","56","24","0","267","35","2","18","0","20","5","5","0","0","81","59","20","2","14","0","2","105","5","76","0","3","2","0","0","1","32","26","21","0","0","4","1","14","4","1","1","4","2","0","26","17","0","0","15","1","1","0","0","0","9","0","0","1","0","0","0","0","8","0","0","0","0","0","70","34","4","2","11","8","5","0","6","0","0","1","0","1","0","1","0","2","0","1"
"2014","Placentia-Whitbourne District, RCMP","Police Region","","total_cleared","112","0","0","0","0","0","0","0","0","2","1","0","0","21","47","5","0","0","0","0","0","0","1","31","4","0","45","4","0","1","0","0","2","2","0","0","12","10","0","2","2","0","1","21","2","32","0","2","1","0","0","0","6","17","14","0","0","3","0","7","3","1","1","1","0","0","22","17","0","0","15","1","1","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","24","20","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Placentia-Whitbourne District, RCMP","Police Region","","tot_persons_charged","44","0","0","0","0","0","0","0","0","1","0","0","0","14","19","2","0","0","0","0","0","0","0","8","0","0","12","4","0","0","0","0","2","2","0","0","3","3","0","0","1","0","1","0","1","17","0","1","1","0","0","0","1","13","10","0","0","3","0","2","1","0","0","1","0","0","20","16","0","0","14","1","1","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","0","11","8","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Placentia-Whitbourne District, RCMP","Police Region","","tot_adults_charged","35","0","0","0","0","0","0","0","0","1","0","0","0","7","17","2","0","0","0","0","0","0","0","8","0","0","12","4","0","0","0","0","2","2","0","0","3","3","0","0","1","0","1","0","1","16","0","1","1","0","0","0","0","13","10","0","0","3","0","2","1","0","0","1","0","0","20","16","0","0","14","1","1","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","0","10","7","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Placentia-Whitbourne District, RCMP","Police Region","","tot_youth_charged","9","0","0","0","0","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Northeast Avalon R.N.C","Police Region","","actual_incidents","2555","1","1","0","0","0","0","0","0","110","21","9","8","212","1082","59","14","18","131","13","1","8","161","681","31","4","7624","1234","32","257","28","883","183","118","28","37","3456","1571","883","1002","585","1","5","1846","25","1550","0","133","72","40","30","5","244","903","598","14","22","220","48","235","68","17","9","82","42","1","1075","991","0","5","890","82","13","0","0","0","84","0","0","6","0","0","23","12","41","2","0","0","0","0","414","195","27","81","22","8","30","33","18","0","0","0","1","0","0","4","0","10","0","3"
"2014","Northeast Avalon R.N.C","Police Region","","total_cleared","1711","0","0","0","0","0","2","0","0","42","9","4","7","167","761","58","7","1","49","10","1","5","109","469","12","2","1482","140","18","27","0","8","30","10","0","20","811","176","8","627","262","0","1","191","2","901","0","41","32","5","3","1","33","750","524","13","16","164","32","73","12","16","3","25","0","5","422","358","0","4","312","27","14","0","0","0","64","0","0","5","0","0","17","2","40","0","0","0","0","0","94","24","6","13","4","2","5","28","12","1","0","0","0","0","0","2","0","4","0","5"
"2014","Northeast Avalon R.N.C","Police Region","","tot_persons_charged","815","0","0","0","0","0","2","0","0","6","1","1","7","145","334","49","1","0","46","9","0","5","33","175","1","1","1266","132","19","17","0","2","32","8","0","24","735","106","2","627","201","0","1","127","2","865","0","37","26","5","1","0","2","788","564","13","23","157","30","37","6","17","3","6","0","1","410","347","0","4","303","25","14","0","0","0","63","0","0","4","0","0","16","0","43","0","0","0","0","0","83","20","4","8","3","2","5","32","9","2","0","0","0","0","0","3","0","4","0","0"
"2014","Northeast Avalon R.N.C","Police Region","","tot_adults_charged","732","0","0","0","0","0","2","0","0","6","1","1","7","127","300","45","1","0","45","9","0","5","30","153","1","0","1200","120","14","14","0","2","31","7","0","24","715","101","2","612","196","0","1","107","2","819","0","33","22","5","0","0","2","748","543","13","23","140","28","36","6","17","2","6","0","1","407","346","0","4","302","25","14","0","0","0","61","0","0","3","0","0","15","0","43","0","0","0","0","0","49","16","4","8","3","2","5","2","9","2","0","0","0","0","0","3","0","4","0","0"
"2014","Northeast Avalon R.N.C","Police Region","","tot_youth_charged","83","0","0","0","0","0","0","0","0","0","0","0","0","18","34","4","0","0","1","0","0","0","3","22","0","1","66","12","5","3","0","0","1","1","0","0","20","5","0","15","5","0","0","20","0","46","0","4","4","0","1","0","0","40","21","0","0","17","2","1","0","0","1","0","0","0","3","1","0","0","1","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","34","4","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Labrador West, R.N.C.","Police Region","","actual_incidents","89","0","0","0","0","0","0","0","0","11","1","1","0","4","35","0","0","1","0","1","0","1","5","30","0","0","136","24","0","3","0","3","9","6","0","3","30","23","3","4","20","1","0","48","1","25","0","3","2","1","0","0","7","14","3","0","0","9","2","1","1","0","0","0","0","0","43","37","0","1","29","7","0","0","0","0","6","0","0","1","0","0","0","2","2","1","0","0","0","0","13","7","2","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2014","Labrador West, R.N.C.","Police Region","","total_cleared","44","0","0","0","0","0","0","0","0","3","0","0","0","2","22","0","0","0","0","1","0","1","4","11","0","0","18","3","0","0","0","1","3","0","0","3","6","2","1","3","1","0","0","5","0","9","0","1","1","0","0","0","0","8","0","0","0","6","2","0","0","0","0","0","0","0","23","18","0","1","14","3","0","0","0","0","5","0","0","1","0","0","0","1","2","1","0","0","0","0","5","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2014","Labrador West, R.N.C.","Police Region","","tot_persons_charged","26","0","0","0","0","0","0","0","0","3","0","0","0","2","16","0","0","0","0","1","0","0","1","3","0","0","17","4","0","0","0","1","2","0","0","2","6","2","1","3","1","0","0","4","0","9","0","1","1","0","0","0","0","8","0","0","0","6","2","0","0","0","0","0","0","0","23","19","0","1","15","3","0","0","0","0","4","0","0","1","0","0","0","0","2","1","0","0","0","0","7","4","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2014","Labrador West, R.N.C.","Police Region","","tot_adults_charged","26","0","0","0","0","0","0","0","0","3","0","0","0","2","16","0","0","0","0","1","0","0","1","3","0","0","16","4","0","0","0","1","2","0","0","2","5","2","1","2","1","0","0","4","0","9","0","1","1","0","0","0","0","8","0","0","0","6","2","0","0","0","0","0","0","0","23","19","0","1","15","3","0","0","0","0","4","0","0","1","0","0","0","0","2","1","0","0","0","0","6","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2014","Labrador West, R.N.C.","Police Region","","tot_youth_charged","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","actual_incidents","286","0","0","0","0","0","0","0","0","11","4","4","1","13","151","4","1","0","4","2","0","2","24","60","8","1","763","64","10","4","3","125","19","16","3","0","379","156","125","98","58","1","1","227","0","348","0","6","1","4","14","0","116","194","109","5","33","35","11","18","1","0","2","6","3","0","90","80","0","1","69","8","2","0","0","0","10","0","0","0","0","0","1","9","0","0","0","0","0","0","74","47","2","5","7","1","3","2","6","0","0","0","0","0","0","0","0","0","0","6"
"2014","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","total_cleared","198","0","0","0","0","0","0","0","0","5","0","0","1","10","113","4","1","0","3","2","0","2","14","37","5","1","193","12","6","0","0","12","1","1","0","0","103","29","12","62","26","0","0","45","0","199","0","1","1","0","3","0","15","171","100","3","29","29","9","9","0","0","0","3","0","0","32","31","0","0","27","2","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","18","10","1","1","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","tot_persons_charged","126","0","0","0","0","0","0","0","0","4","0","0","1","11","59","6","0","0","3","2","0","3","7","26","2","2","157","12","3","0","0","12","1","1","0","0","85","25","12","48","24","0","0","32","0","166","0","1","1","0","1","0","3","159","91","3","28","26","10","2","0","0","0","2","0","0","32","31","0","0","27","2","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","15","4","1","0","3","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","tot_adults_charged","98","0","0","0","0","0","0","0","0","4","0","0","1","3","47","4","0","0","3","2","0","3","7","20","2","2","115","4","3","0","0","5","1","1","0","0","64","11","5","48","23","0","0","20","0","120","0","1","1","0","1","0","2","114","67","1","22","18","6","2","0","0","0","2","0","0","32","31","0","0","27","2","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","12","2","1","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Corner Brook, R.N.C.","Police Region","The Corner Brook RNC region includes the municipality of Corner Brook only.","tot_youth_charged","28","0","0","0","0","0","0","0","0","0","0","0","0","8","12","2","0","0","0","0","0","0","0","6","0","0","42","8","0","0","0","7","0","0","0","0","21","14","7","0","1","0","0","12","0","46","0","0","0","0","0","0","1","45","24","2","6","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
